gene_id,class,toxin_family,CLP2057,CLP2065,CLP2068,CLP2071,CLP2105,CLP2109,CLP2137,KW1744,Average
Ccera-CLP2057ext_RpS19_ngenContig2532_-_CDS,Nontoxin,Nontoxin,1583.33,1524.11,1476.44,1497.61,820.71,1124.15,1918.64,2355.96,1537.61875
Ccera-CLP2057ext_RpS3_ngenContig167_-_CDS,Nontoxin,Nontoxin,1438.57,1140.46,753.84,1810.33,1078.13,1765.72,2008.64,2154.07,1518.72
Ccera-CLP2057ext_RpL34_ngenContig406_-_CDS,Nontoxin,Nontoxin,1059.54,1110.38,1773.13,1284.36,522.47,665.54,1865.1,3692.34,1496.6075
Ccera-CLP2071ngen_RpS2_ngenContig5377_-_CDS,Nontoxin,Nontoxin,1349.15,1425.29,1041.48,1567.56,837.7,1263.2,1692.24,2745.47,1490.26125
Ccera-CLP2057ext_60SrpL4_ngenContig819_-_CDS,Nontoxin,Nontoxin,804.46,1344.85,1110.92,1773.14,663.72,915.9,2104.47,2752.59,1433.75625
Ccera-CLP2057ext_TropI_ngenContig4628_-_CDS,Nontoxin,Nontoxin,1004.3,6657.63,483.36,998.63,71.44,313.8,166.73,1272.65,1371.0675
Ccera-CLP2057ext_RpS23-1_ngenContig816_-_CDS,Nontoxin,Nontoxin,1268.25,1009.56,1659.4,1243.51,581.04,926.84,1840.79,2337.15,1358.3175
Ccera-CLP2057ext_RpS9_ngenContig2161_-_CDS,Nontoxin,Nontoxin,1504.71,1269.71,1784.09,1093.49,818.24,979.34,1786.52,1538.47,1346.82125
Ccera-CLP2057ext_RpS6_ngenContig3064_-_CDS,Nontoxin,Nontoxin,773.02,1566.07,1264.91,1623.78,693.49,1042.16,1627.18,2127.19,1339.725
Ccera-CLP2057ext_RpS27_ngenContig3029_-_CDS,Nontoxin,Nontoxin,1128.09,1290.88,1190.24,1410.36,929.88,1052.7,1530.8,2169.06,1337.75125
Ccera-CLP2057ext_RpL38_ngenContig3322_-_CDS,Nontoxin,Nontoxin,1230.31,1386.96,1257.64,1530.22,638.09,1228.15,1749.99,1505.12,1315.81
Ccera-CLP2057ext_GST-t1_ngenContig4073_-_CDS,Nontoxin,Nontoxin,1062.85,1534.94,970.25,1553.32,615.45,656.05,1851.24,2204.74,1306.105
Ccera-CLP2057ext_RpL5_ngenContig3269_-_CDS,Nontoxin,Nontoxin,888.33,1324.48,1265.77,1368.55,650.99,839.88,1968.32,2097.53,1300.48125
Ccera-CLP2057ext_RpL13_ngenContig3626_-_CDS,Nontoxin,Nontoxin,901.31,1300.09,1041.18,1503.14,693.67,1253.36,1750.33,1900.4,1292.935
Ccera-CLP2057ext_RpS5_ngenContig313_-_CDS,Nontoxin,Nontoxin,982.76,1077.38,1121.78,1421.92,636.42,1078.86,1752.87,2175.25,1280.905
Ccera-CLP2057ext_RpS21_ngenContig3311_-_CDS,Nontoxin,Nontoxin,1287.49,963.74,1620.35,1211.02,471.84,894.93,1684.47,2108.24,1280.26
Ccera-CLP2065ngen_Actin2_ngenContig36_-_CDS,Nontoxin,Nontoxin,909.38,1266.7,1600.41,1349.58,769.2,877.26,1557.59,1901.63,1278.96875
Ccera-CLP2057ext_RpS29_ngenContig3687_-_CDS,Nontoxin,Nontoxin,1904.11,262.41,33.44,1816.94,727.66,1265.6,1922.93,2287.16,1277.53125
Ccera-CLP2057ext_RpL40_ngenContig1525_-_CDS,Nontoxin,Nontoxin,918.17,1457.5,1229.57,1226.91,930,1057.37,1301.78,1709.49,1228.84875
Ccera-CLP2057ext_RpL9_ngenContig3009_-_CDS,Nontoxin,Nontoxin,897.68,1160.67,1244.24,1121.61,632.26,824.1,1587.84,1794.98,1157.9225
Ccera-CLP2057ext_CreatineKin_ngenContig4614_-_CDS,Nontoxin,Nontoxin,1066.66,3829.19,143.02,1031,51.96,353.28,221.01,2393.57,1136.21125
Ccera-CLP2057ext_RpL6_ngenContig2931_-_CDS,Nontoxin,Nontoxin,906.85,1165.41,874.17,1283.4,677.37,1023.42,1255.73,1796.65,1122.875
Ccera-CLP2057ext_RpL35a_ngenContig3077_-_CDS,Nontoxin,Nontoxin,977.95,1254.94,836.75,1266.56,539.24,1231.63,1156.12,1575.38,1104.82125
Ccera-CLP2057ext_C4orf34_ngenContig4207_-_CDS,Nontoxin,Nontoxin,894.52,1216.67,978.05,1132.14,1075.76,1343.03,1463.17,670.06,1096.675
Ccera-CLP2057ext_RpL10a_ngenContig1671_-_CDS,Nontoxin,Nontoxin,1069.99,839.44,1184.3,913.87,433.01,594.65,1949.18,1784.92,1096.17
Ccera-KW1744ext_TF-YBox_extContig92_-_CDS,Nontoxin,Nontoxin,1051.39,802.22,558.27,848,567.71,1059.83,1470.99,2320.22,1084.82875
Ccera-CLP2057ext_TroponinC_extContig318_-_CDS,Nontoxin,Nontoxin,1255.4,4888.75,183.66,591.18,46.46,222.44,142.17,1091.38,1052.68
Ccera-CLP2057ext_GAPDH_ngenContig4584_-_CDS,Nontoxin,Nontoxin,672.11,2651.27,1051.34,891.64,352.61,442.13,721.64,1400.91,1022.95625
Ccera-CLP2057ext_Translocase2_ngenContig847_-_CDS,Nontoxin,Nontoxin,417.18,1526.09,360.66,1385.96,273,568.24,1309.65,2273.9,1014.335
Ccera-CLP2105ngen_rCG21222_ngenContig5178_-_CDS,Nontoxin,Nontoxin,551.76,1381.11,982.53,1140.56,929.13,1111.4,1111.74,902.46,1013.83625
Ccera-CLP2057ext_Thioredoxin-1_ngenContig4260_-_CDS,Nontoxin,Nontoxin,814.18,1178,845.02,1103,794.38,939.65,1378.2,1032.6,1010.62875
Ccera-CLP2057ext_PPCTI-A_ngenContig2624_-_CDS,Nontoxin,Nontoxin,774.97,987.24,1025.01,1195.28,678.05,877.58,864.76,1413.14,977.00375
Ccera-CLP2057ext_EF-2_ngenContig4604_-_CDS,Nontoxin,Nontoxin,717.78,1364.92,465.11,1236.05,562.58,897.63,1180.39,1365.47,973.74125
Ccera-CLP2057ext_RpS11_ngenContig798_-_CDS,Nontoxin,Nontoxin,718.23,988.58,464.31,1223.69,562.54,1094.37,1136.42,1510.61,962.34375
