gene_id,class,toxin_family,CLP2057,CLP2065,CLP2068,CLP2071,CLP2105,CLP2109,CLP2137,KW1744
Ccera-CLP2057ext_AdenylosuccinateLyase_ngenContig4395_-_CDS,Nontoxin,Nontoxin,163,284,226,278,159,207,227,428
Ccera-CLP2109ngen_AdenylylCyclase1_ngenContig403_-_CDS,Nontoxin,Nontoxin,264,416,211,455,274,421,712,418
Ccera-CLP2057ext_ADH_ngenContig195_-_CDS,Nontoxin,Nontoxin,315,177,233,328,150,215,242,333
Ccera-CLP2057ext_Adipocyte_ngenContig1615_-_CDS,Nontoxin,Nontoxin,734,666,748,571,322,582,1323,1240
Ccera-CLP2065ngen_AdiponectinRec2_ngenContig1467_-_CDS,Nontoxin,Nontoxin,114,132,108,113,130,141,155,161
Ccera-CLP2057ext_ADP-ribosylArgHydrolase_ngenContig3537_-_CDS,Nontoxin,Nontoxin,106,116,103,80,102,98,96,105
Ccera-CLP2057ext_ADP-ribosylation4_ngenContig2475_-_CDS,Nontoxin,Nontoxin,268,298,253,244,337,326,269,241
Ccera-CLP2065ngen_ADP-ribosylation4A_ngenContig4547_-_CDS,Nontoxin,Nontoxin,159,298,150,158,251,167,226,473
Ccera-CLP2057ext_ADPPyrophos_ngenContig3083_-_CDS,Nontoxin,Nontoxin,57,64,48,126,59,87,53,97
Ccera-CLP2071ngen_ADPRib14_ngenContig5900_-_CDS,Nontoxin,Nontoxin,30,19,14,48,18,29,22,69
Ccera-CLP2057ext_ADPRibosyl1-1_ngenContig3395_-_CDS,Nontoxin,Nontoxin,329,784,490,279.57,541,374.62,581,478
Ccera-CLP2071ngen_ADPRibosyl1-2_ngenContig5670_-_CDS,Nontoxin,Nontoxin,0,0,0,205.43,0,301.38,0,0
Ccera-CLP2057ext_ADPRibosyl1-4_ngenContig222_-_CDS,Nontoxin,Nontoxin,394,341,637,398,391,481,550,395
Ccera-CLP2057ext_ADPRibosyl2_ngenContig2925_-_CDS,Nontoxin,Nontoxin,70,105,53,90,66,92,45,115
Ccera-CLP2057ext_ADPRibosyl3-1_ngenContig2909_-_CDS,Nontoxin,Nontoxin,155,182,173,180,151,210,248,168
Ccera-CLP2065ngen_ADPRibosyl3-2_ngenContig1315_-_CDS,Nontoxin,Nontoxin,859,921,966,1024,856,955,1085,1272
Ccera-CLP2057ext_ADPRibosyl6_ngenContig1908_-_CDS,Nontoxin,Nontoxin,273,269,308,251,187,264,308,393
Ccera-CLP2065ngen_ADPribosylation-5A_ngenContig5468_-_CDS,Nontoxin,Nontoxin,16,38,17,28,23,37,27,31
Ccera-CLP2071ngen_ADPRibosylation-8B_ngenContig565_-_CDS,Nontoxin,Nontoxin,37,90,57,63,76,64,62,62
Ccera-CLP2057ext_AffCuUp2_ngenContig2152_-_CDS,Nontoxin,Nontoxin,27,64,21,54,34,69,37,63
Ccera-CLP2071ngen_AFGFIB_ngenContig5148_-_CDS,Nontoxin,Nontoxin,150,165,100,156,112,146,139,208
Ccera-CLP2057ext_AHA1_ngenContig2205_-_CDS,Nontoxin,Nontoxin,104,102,115,94,82,98,129,48
Ccera-CLP2109ngen_aKGDiO-ABH6_ngenContig3742_-_CDS,Nontoxin,Nontoxin,91,74,28,99,81,132,83,117
Ccera-CLP2071ngen_Akirin2_ngenContig2999_-_CDS,Nontoxin,Nontoxin,36,65,27,54,45,38,46,67
Ccera-CLP2137ngen_AKT_ngenContig2189_-_CDS,Nontoxin,Nontoxin,298,486,388,501,343,463,504,467
Ccera-CLP2065ngen_AlcDe5III_ngenContig3664_-_CDS,Nontoxin,Nontoxin,451,612,642,721,391,360,714,786
Ccera-KW1109ngen_AldehydeDH2_ngenContig1880_-_CDS,Nontoxin,Nontoxin,526,629,275,331,202,295,382,824
Ccera-CLP2105ngen_AldoKetoRed1B1_ngenContig2894_-_CDS,Nontoxin,Nontoxin,44,99,109,103,96,35,32,40
Ccera-CLP2057ext_AldolaseA_ngenContig4286_-_CDS,Nontoxin,Nontoxin,3317,13681,1288,1506,993,812,1618,7150
Ccera-CLP2065ngen_ALG13_ngenContig2509_-_CDS,Nontoxin,Nontoxin,51,62,62,78,66,77,69,67
Ccera-CLP2065ngen_AllograftInflammatory1_ngenContig4200_-_CDS,Nontoxin,Nontoxin,77,131,54,155,58,81,56,166
Ccera-CLP2057ext_AlphaCrystallinB_ngenContig2600_-_CDS,Nontoxin,Nontoxin,503,1052,187,718,217,429,310,553
Ccera-CLP2071ngen_AlphaEndosulfine_ngenContig5261_-_CDS,Nontoxin,Nontoxin,19,72,31,54,34,62,63,45
Ccera-CLP2057ext_AlphaEnolase_ngenContig184_-_CDS,Nontoxin,Nontoxin,1112,1208,817,1417,1199,1259,1427,903
Ccera-CLP2057ext_AlphaGlobin_ngenContig4423_-_CDS,Nontoxin,Nontoxin,831,810,122,30,97,314,1327,30
Ccera-CLP2065ngen_AminoAcidTrans1_ngenContig5623_-_CDS,Nontoxin,Nontoxin,37,255,106,96,128,267,242,268
Ccera-CLP2057ext_Aminoacyl-tRNASyn_ngenContig2566_-_CDS,Nontoxin,Nontoxin,581,386,603,514,365,355,651,873
Ccera-CLP2057ext_AminopeptidaseA_ngenContig2805_-_CDS,Nontoxin,Nontoxin,710,449,403,438,434,559,642,550
Ccera-CLP2057ext_AminopeptidaseN_ngenContig4835_-_CDS,Nontoxin,Nontoxin,1160,688,289,2519,886,1056,1054,655
Ccera-KW1109ngen_Aminotransferase2-1_ngenContig4209_-_CDS,Nontoxin,Nontoxin,134,158,121,442,60,136,76,358
Ccera-CLP2057ext_AMN1_ngenContig4173_-_CDS,Nontoxin,Nontoxin,83,175,93,169,78,78,90,192
Ccera-CLP2057ext_AMPKin-b1_ngenContig845_-_CDS,Nontoxin,Nontoxin,155,249,119,204,145,137,153,127
Ccera-CLP2065ngen_AMPKin-g1_ngenContig4548_-_CDS,Nontoxin,Nontoxin,51,113,89,115,66,91,115,172
Ccera-CLP2065ngen_AMSyn2_ngenContig3711_-_CDS,Nontoxin,Nontoxin,109,207,161,161,145,156,130,148
Ccera-CLP2057ext_Anaphase11_ngenContig4351_-_CDS,Nontoxin,Nontoxin,39,45,36,39,16,48,41,70
Ccera-CLP2065ngen_AndrogenDepTPF1_ngenContig5595_-_CDS,Nontoxin,Nontoxin,60,88,31,32,74,1,78,28
Ccera-CLP2057ext_AndrogenInd1_ngenContig2078_-_CDS,Nontoxin,Nontoxin,47,69,103,81,58,54,57,56
Ccera-CLP2071ngen_AngIIRec_ngenContig4602_-_CDS,Nontoxin,Nontoxin,11,52,13,38,19,56,17,24
Ccera-CLP2057ext_AnionChan2_ngenContig3284_-_CDS,Nontoxin,Nontoxin,582,890,577,962,516,713,870,987
Ccera-CLP2057ext_AnionChan3_ngenContig3213_-_CDS,Nontoxin,Nontoxin,217,197,241,207,147,158,160,299
Ccera-CLP2057ext_Ankylosis_ngenContig3422_-_CDS,Nontoxin,Nontoxin,471,495,436,492,507,419,575,525
Ccera-CLP2105ngen_Ankyrin-46_ngenContig3429_-_CDS,Nontoxin,Nontoxin,48,54,50,67,69,38,50,62
Ccera-CLP2057ext_AnnexinA1_ngenContig3846_-_CDS,Nontoxin,Nontoxin,174,528,1114,1600,539,313,891,1373
Ccera-CLP2065ngen_AnnexinA11_ngenContig1240_-_CDS,Nontoxin,Nontoxin,156,492,149,473,113,204,189,198
Ccera-CLP2057ext_AnnexinA2_ngenContig4624_-_CDS,Nontoxin,Nontoxin,659,1217,689,2028,528,826,624,1544
Ccera-CLP2065ngen_AnnexinA4-1_ngenContig908_-_CDS,Nontoxin,Nontoxin,44,150,77,118,57,41,77,57
Ccera-CLP2057ext_AnnexinA5_ngenContig1278_-_CDS,Nontoxin,Nontoxin,242,340,492,335,275,309,400,492
Ccera-CLP2057ext_AnnexinA6_ngenContig2363_-_CDS,Nontoxin,Nontoxin,442,916,350,521,237,270,342,846
Ccera-CLP2071ngen_AnnexinA7_ngenContig4297_-_CDS,Nontoxin,Nontoxin,106,230,146,197,124,156,197,217
Ccera-CLP2065ngen_AntizymeInh1_ngenContig2327_-_CDS,Nontoxin,Nontoxin,77,214,121,223,132,98,108,298
Ccera-CLP2071ngen_AP-1-b1_ngenContig6596_-_CDS,Nontoxin,Nontoxin,423,504,213,528,532,561,361,257
Ccera-CLP2065ngen_AP-1-mu1_ngenContig1482_-_CDS,Nontoxin,Nontoxin,135,147,170,157,170,164,295,123
Ccera-CLP2057ext_AP-1-s1A_ngenContig3536_-_CDS,Nontoxin,Nontoxin,183,205,131,225,193,238,166,206
Ccera-CLP2057ext_AP-1-s3_ngenContig3762_-_CDS,Nontoxin,Nontoxin,45,29,41,69,57,49,67,32
Ccera-CLP2057ext_AP-2-mu_ngenContig1334_-_CDS,Nontoxin,Nontoxin,443,701,456,673,495,542,605,695
Ccera-CLP2057ext_AP-2-sigma_ngenContig3007_-_CDS,Nontoxin,Nontoxin,119,157,150,185,151,128,200,225
